speaker,title,institution,date,link,topic
"Mintz, David",Pediatric Anesthesia Neurotoxicity,Johns Hopkins,2014-08-14,http://webcast.jhu.edu/Mediasite/Play/a7667f490b0e41b8a0dbc74a86c6efed1d,Pediatric
"Farber, Daniel",Perioperative Pulmonary Complications,U. Wisconsin,2014-08-06,https://videos.med.wisc.edu/videos/54511,General
"Toledo, Paloma",Rethinking Maintenance of Labor Analgesia,,2014-08-01,https://vimeo.com/104522405,OB
"Zuegge, Karin","Is Reduce, Reuse, Recycle Viable in the OR?",U. Wisconsin,2014-07-30,https://videos.med.wisc.edu/videos/54447,Infrastructure
"Peterson, Michael",Advances in Depression Treatment,U. Wisconsin,2014-07-16,https://videos.med.wisc.edu/videos/54303,Neuro
"Wong, Cynthia",Maternal Mortality: Women Still Die in Childbirth,,2014-07-13,https://vimeo.com/70446462,OB
"Rasinghe, Sue",Hypertension in Pregnancy Practical Concerns,,2014-07-01,https://vimeo.com/102025292,OB
"Raz, Aeyal","Anesthesia, do we turn off the brain?",U. Wisconsin,2014-06-18,https://videos.med.wisc.edu/videos/54163,General
"Weinger, Matthew",What Every Anesthesiologist Needs to Know About Safety,U. Wisconsin,2014-06-11,https://videos.med.wisc.edu/videos/54112,Infrastructure
"Hagan, Paul",Residual Neuromuscular Blockade: Don't Roc the Boat,U. Wisconsin,2014-06-04,https://videos.med.wisc.edu/videos/54111,General
"Schell, Randall",Death by PowerPoint: Is the Traditional Classroom Model Obsolete?,U. Wisconsin,2014-05-21,https://videos.med.wisc.edu/videos/54020,Infrastructure
"Pike, Patrick",ERAS: Perioperative Considerations,U. Wisconsin,2014-05-07,https://videos.med.wisc.edu/videos/53958,General
"Tao, Weiki",Neurologic Complications in Obstetric Anesthesia,,2014-05-01,https://vimeo.com/97352600,OB
"Brye, Arik",Anesthetic Management for Cytoreductive Surgery and Intra-Operative Hyperthermic Chemotherapy,U. Wisconsin,2014-04-30,https://videos.med.wisc.edu/videos/53624,General
"Hornbein, Thomas",High on Hypoxia-an Exploration of Human Adaptation,U. Wisconsin,2014-04-16,https://videos.med.wisc.edu/videos/52949,Physiology
"Hornbein, Thomas",Everest and Risk as an Essential Dietary Constituent,U. Wisconsin,2014-04-15,https://videos.med.wisc.edu/videos/53412,Physiology
"Amlong, Corey","Dexmedetomidine: Past, Present and Future",U. Wisconsin,2014-04-02,https://videos.med.wisc.edu/videos/52947,General
"D'Angelo, Robert",Local Anesthetic Systemic Toxicity,,2014-04-01,https://vimeo.com/93144522,OB
"Scavone, Barbara",Post Dural Puncture Headache and Epidural Blood Patch,,2014-03-01,https://vimeo.com/91090664,OB
"Jochman, John",All Grown Up: Management of Adult Congenital Heart Disease for Non-Cardiac Surgery,U. Wisconsin,2014-02-19,https://videos.med.wisc.edu/videos/51904,General
"Walker, Benjamin",The Pediatric Regional Anesthesia Network,U. Wisconsin,2014-02-12,https://videos.med.wisc.edu/videos/51903,Regional
"Flood, Pamela",How can we study labor pain?,,2014-02-01,https://vimeo.com/86603438,OB
"Miletic, Vjekoslav",Intrathecal calcineurin provides prolonged analgesia in a rat model,U. Wisconsin,2014-01-15,https://videos.med.wisc.edu/videos/51093,Regional
"Cirac, Nicholas",The Use of Antifibrinolytics in Non-Cardiac Surgery,U. Wisconsin,2014-01-08,https://videos.med.wisc.edu/videos/50958,General
"Carvalho, Brendan",Strategies to Optimize Post-Cesarean Delivery Analgesia,,2014-01-01,https://vimeo.com/83759994,OB
"Van Dyke, Kenneth",Quality Improvement: Better isn't always the enemy,U. Wisconsin,2013-12-11,https://videos.med.wisc.edu/videos/50840,Infrastructure
"Kjaer, Klaus",Aspiration in Obstetrics,,2013-12-01,https://vimeo.com/81886503,OB
"Obma, Kari","Transcatheter Aortic Valve Replacement: Past, Present, and Future",U. Wisconsin,2013-11-20,https://videos.med.wisc.edu/videos/50338,Cardiac
"Vadhera, Rakesh",Preparing for Obstetric Hemorrhage,,2013-11-01,https://vimeo.com/79496202,OB
"Wolman, Richard",Controversies in Organ Donation: The Sale of Human Organs,U. Wisconsin,2013-10-09,https://videos.med.wisc.edu/videos/49274,General
"Czeczok, Charles",Adjuvant Medications in Regional Anesthesia,U. Wisconsin,2013-10-02,https://videos.med.wisc.edu/videos/49106,Regional
"Ellis, Libby",Obesity & Labor Analgesia,,2013-10-01,https://vimeo.com/77183485,OB
"Rose, Nick",Massive Transfusion Updates,U. Wisconsin,2013-09-11,https://videos.med.wisc.edu/videos/48371,General
"Toledano, Roulhac",Vertebral Column and Epidural Space Anatomy: Myths and Reality,,2013-09-01,https://vimeo.com/74655892,Regional
"Avidan, Michael",Research into Postoperative Cognition : Pitfalls and Challenges,U. Wisconsin,2013-08-14,https://videos.med.wisc.edu/videos/47882,Neuro
"Zakowski, Mark",Neurologic Complications in Obstetric Anesthesia,,2013-08-01,https://vimeo.com/72438075,OB
"Zuegge, Karin",What Does it Cost and Why Does it Matter,U. Wisconsin,2013-07-17,https://videos.med.wisc.edu/videos/47791,Infrastructure
"Eiler, Jacob",Perioperative Anesthesthetic Considerations in Cancer Surgery,U. Wisconsin,2013-07-03,https://videos.med.wisc.edu/videos/47771,General
"Eckenhoff, Roderic",Scientific Tangents,U. Wisconsin,2013-06-19,https://videos.med.wisc.edu/videos/47591,Infrastructure
"Perouansky, Misha",Paradigms and Progress: The sesquicentennial quest for a unified theory of anesthetic action in the brain,U. Wisconsin,2013-06-12,https://videos.med.wisc.edu/videos/47508,General
"Moore, Christopher",Management of Anesthesia in Acute Ischemic Stroke,U. Wisconsin,2013-06-05,https://videos.med.wisc.edu/videos/47579,Neuro
"Olufolabi, Yemi",The Obstetric Airway,,2013-06-01,https://vimeo.com/68436007,OB
"Minehart, Rebecca",Maternal Cardiac Arrest and Intralipid Rescue,,2013-05-08,https://vimeo.com/66315082,OB
"Robertson, Gail",hERG Channels and the Molecular Basis of Drug-induced Sudden Cardiac Death,U. Wisconsin,2013-05-08,https://videos.med.wisc.edu/videos/47507,General
"Hug, Carl",Ethical Issues in Anesthesiology and Critical Care: Emphasis on Practical Approaches to Solutions for Common Dilemmas,U. Wisconsin,2013-04-24,https://videos.med.wisc.edu/videos/46413,Infrastructure
"Ritter Jones, Marsha",The Brain-Dead Organ Donor: Care of the Gift,U. Wisconsin,2013-04-03,https://videos.med.wisc.edu/videos/45771,General
"Smiley, Richard",Adventures in Malpractice Consulting,,2013-04-01,https://vimeo.com/63868594,OB
"McBride, Patrick",Creating an Optimal Learning Environment: Mistreatment and Medical Students,U. Wisconsin,2013-03-20,https://videos.med.wisc.edu/videos/45925,Infrastructure
"Garner, Rosa",Severe Asthma: New Insights into Pathogenesis and Therapy,U. Wisconsin,2013-03-13,https://videos.med.wisc.edu/videos/45797,General
"Jarjour, Nizar",Cardiac Arrest: A Review of Post-arrest Interventions,U. Wisconsin,2013-03-06,https://videos.med.wisc.edu/videos/45670,General
"Vallejo, Manny",Growing Obesity Epidemic,,2013-03-01,https://vimeo.com/62334876,General
"Hammel, Laura",Focusing on the Donor in Live Liver Transplant,U. Wisconsin,2013-02-20,https://videos.med.wisc.edu/videos/42937,General
"Turkstra, Lyn",Clinical Decision-Making for Patients in Vegetative & Minimally Conscious States,U. Wisconsin,2013-02-13,https://videos.med.wisc.edu/videos/45529,General
"Froelich, Michael",New Measures of Coagulation,,2013-02-03,https://vimeo.com/60752114,OB
"Ramamoorthy, Jagan",A Discussion of Atelectasis,U. Wisconsin,2013-01-09,https://videos.med.wisc.edu/videos/42934,Physiology
"Shafer, Steven","Statistics: the good, the bad, and the ugly",,2013-01-01,https://vimeo.com/58577953,Misc
"Ketzler, Jonathan",Modes of Mechanical Ventilation,U. Wisconsin,2012-12-19,https://videos.med.wisc.edu/videos/42932,General
"Tawil, Justin",Arterial Catheterization for Invasive Blood Pressure Monitoring,U. Wisconsin,2012-12-12,https://videos.med.wisc.edu/videos/42931,General
"Ward, Denham",Feedback and Assessment of Anesthesiology Education,U. Wisconsin,2012-12-05,https://videos.med.wisc.edu/videos/42930,Infrastructure
"Broderick, Thomas","Paravertebrals at UW: Past, Present and Future",U. Wisconsin,2012-11-14,https://videos.med.wisc.edu/videos/42928,Regional
"Grabher, Nathan",The Affordable Care Act: Bundled Payments and Accountable Care Organizations,U. Wisconsin,2012-11-07,https://videos.med.wisc.edu/videos/42927,Infrastructure
"Bartosh, Sharon",Pediatric Renal Transplant,U. Wisconsin,2012-10-24,https://videos.med.wisc.edu/videos/42926,Pediatric
"Bruggink, Sean",Regional Anesthesia for Cardiac Surgery,U. Wisconsin,2012-10-03,https://videos.med.wisc.edu/videos/42771,Regional
"Sadhasivam, Senthil",Personalizing Perioperative Pain Management with Opioids in Children,U. Wisconsin,2012-08-15,https://videos.med.wisc.edu/videos/41116,Pediatric
"Peterson, April",Perioperative Glucose Control: A Review of the Evidence Part II,U. Wisconsin,2012-08-08,https://videos.med.wisc.edu/videos/41115,General
"Broeckert, Rebecca",Perioperative Glucose Control: A Review of the Evidence,U. Wisconsin,2012-07-18,https://videos.med.wisc.edu/videos/41114,General
"Wolman, Richard",Dilemmas in Organ Donation,U. Wisconsin,2012-07-11,https://videos.med.wisc.edu/videos/41113,General
"Gassner, Kyle",Sanitary Measures in Regional Anesthesia,U. Wisconsin,2012-06-20,https://videos.med.wisc.edu/videos/38410,Regional
"Taenzer, Andreas",Patient Surveillance,U. Wisconsin,2012-06-06,https://videos.med.wisc.edu/videos/38409,Infrastructure
"Piske, Matthew",Continuous Labor Epidural + PCEA: Is This the Best We Can Do? The Potential of Programmed Intermittent Bolus Regimens,U. Wisconsin,2012-05-23,https://videos.med.wisc.edu/videos/38408,Regional
"Hevesi, Zoltan",frankE(i)nstein,U. Wisconsin,2012-05-16,https://videos.med.wisc.edu/videos/38407,Infrastructure
"Gelman, Simon",Department of Anesthesiology Grand Rounds,U. Wisconsin,2012-05-09,https://videos.med.wisc.edu/videos/38406,General
"Leibel, Mark",Perioperative Hemodynamic Optimization: Should we be Pursuing Goal-directed Therapy?,U. Wisconsin,2012-05-02,https://videos.med.wisc.edu/videos/37776,General
"Varness, Deirdre",Banking on Blood: Demystifying the Process from Type and Screen to Transfusion,U. Wisconsin,2012-04-18,https://videos.med.wisc.edu/videos/38404,General
"Jensen, Ashley",Ventilator Induced Lung Injury and Intraoperative Tidal Volume,U. Wisconsin,2012-04-11,https://videos.med.wisc.edu/videos/38403,General
"Ertl, Melissa",Malignant Hyperthermia: A Hot Topic,U. Wisconsin,2012-04-04,https://videos.med.wisc.edu/videos/38402,General
"Leighton, Barbara",Anesthetic Implications of Morbid Obesity,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39110795,OB
"Leighton, Barbara",Advanced Maternal Age: Too Old to Push?,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39111470,OB
"Hoyt, McCallum",What's new in Neonatal Resuscitation,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39122343,Pediatric
"Pratt, Stephen",Role of Simulation in Maintenance of Anesthesia Skills,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39122961,General
"Tsen, Lawrence",Oxytocin Overdose! Options for Optimal Uterine Tone during Cesarean Delivery,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39151154,OB
"Suresh, Maya",Failed Intubation: The ASA Difficult Airway Algorithm,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39151697,General
"Suresh, Maya",Role of Video Laryngoscopy in OB Anesthesia,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39152666,OB
"Nelson, Kenneth",Post Dural Puncture Headache and Epidural Blood Patch,SOAP,2012-03-25,https://vimeo.com/album/1881904/video/39153446,OB
"Kalayil, Manoj",Non-Obstetric Surgery for Pregnant Patients,U. Wisconsin,2012-03-21,https://videos.med.wisc.edu/videos/38401,OB
"Leibowitz, Andrew",Determination of Intravascular Volume: Does the Patient Need More or Less Fluid?,U. Wisconsin,2012-03-14,https://videos.med.wisc.edu/videos/38400,General
"Reidy, Christopher",Transcatheter Aortic Valve Implantation,U. Wisconsin,2012-03-07,https://videos.med.wisc.edu/videos/38399,Cardiac
"Saviello, George",Drips to Bits (Ether to Aisys): Forty Years of Anesthesia Delivery Systems from a Personal Perspective,U. Wisconsin,2012-02-15,https://videos.med.wisc.edu/videos/38397,General
"Sebel, Peter",Memory and Awareness in Anesthesia,U. Wisconsin,2012-02-01,https://videos.med.wisc.edu/videos/37778,Neuro
"Glick, David","Bispectral Index Monitoring: The Lights are on, But is Anybody Home?",U. Wisconsin,2012-01-11,https://videos.med.wisc.edu/videos/37775,Neuro
"Hogan, Kirk",N2O NO,U. Wisconsin,2012-01-04,https://videos.med.wisc.edu/videos/37607,General
"Strigenz, Timothy",Complex Regional Pain Syndrome,U. Wisconsin,2011-12-21,https://videos.med.wisc.edu/videos/37606,Regional
"El-Hatab, Yasser",Anesthetic Management of the Morbidly Obese Patients: The real Clinical Challenges,U. Wisconsin,2011-12-14,https://videos.med.wisc.edu/videos/37605,General
"Rusy, Deborah",Humanitarian Anesthesiology,U. Wisconsin,2011-12-07,https://videos.med.wisc.edu/videos/37540,Infrastructure
"Durieux, Marcel",Intravenous local anesthetics: a newapproach to improving surgical outcomes,U. Wisconsin,2011-11-30,https://videos.med.wisc.edu/videos/37506,General
"Gossett, Linda",Perioperative Management of Patients with Coronary Stents,U. Wisconsin,2011-11-09,https://videos.med.wisc.edu/videos/36887,General
"Seropian, Michael",Simulation Programs: What Would an Investor Want to See,U. Wisconsin,2011-11-02,https://videos.med.wisc.edu/videos/36394,Infrastructure
"Malagon, Ignacio",Ischaemic Preconditioning and The Use of Steroids in Paediatric Cardiac Surgery,U. Wisconsin,2011-10-05,https://videos.med.wisc.edu/videos/34966,Pediatric
"Dutton, Richard",Hemostatic Resuscitation in Exsanguinating Trauma,U. Wisconsin,2011-09-21,https://videos.med.wisc.edu/videos/34964,General
"Connors, Dean","Somatomedins, Resident Education, and Curricular Development; A Glimpse Into the Future",U. Wisconsin,2011-09-14,https://videos.med.wisc.edu/videos/33596,Infrastructure
"Faucher, Lee",Resuscitation: History and Current Practice,U. Wisconsin,2011-09-07,https://videos.med.wisc.edu/videos/34150,General
"Dale, Rebecca",Phantom Limb Pain,U. Wisconsin,2011-08-24,https://videos.med.wisc.edu/videos/33798,Regional
"Stoltzfus, Luke",Early Anesthetic Exposure and Neurocognitive Dysfunction,U. Wisconsin,2011-08-03,https://videos.med.wisc.edu/videos/33468,Pediatric
"Rogers, Kirke","The Future of Anesthesiology: New Drugs, New Technologies, New Responsibilities, Old Patient",U. Wisconsin,2011-07-20,https://videos.med.wisc.edu/videos/33342,Infrastructure
"Banks, Matthew",Exploring the Neural Basis of Consciousness Using General Anesthetics,U. Wisconsin,2011-07-13,https://videos.med.wisc.edu/videos/33278,Neuro
"Sebranek, Joshua",Cardiopulmonary Thromboembolism During Liver Transplantation,U. Wisconsin,2011-06-15,https://videos.med.wisc.edu/videos/33090,General
"Sessler, Daniel",Perioperative Thermoregulation,U. Wisconsin,2011-06-08,https://videos.med.wisc.edu/videos/32944,General
"Sleigh, Jamie",The Mysterious Case of The Isolated Forearm,U. Wisconsin,2011-06-01,https://videos.med.wisc.edu/videos/32938,General
"Mogan, Philip",Anesthetics and Mitochondria: From Worms to Kids and Back,U. Wisconsin,2011-05-11,https://videos.med.wisc.edu/videos/32244,Pediatric
